chebi_uri	type	count
http://purl.obolibrary.org/obo/CHEBI_27404	DHI	chemical	1
http://purl.obolibrary.org/obo/CHEBI_28607	COPRO1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63804	HPHT	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15817	semiquinone	chemical	2
http://purl.obolibrary.org/obo/CHEBI_58045	L-Ile	chemical	2
http://purl.obolibrary.org/obo/CHEBI_91280	GlcNAc (Man)5	chemical	4
http://purl.obolibrary.org/obo/CHEBI_138613	7S(8)-epoxy-17(R)-HDHA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16325	LCA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_140246	7-epi-MaR1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_59088	(GlcNAc)2 (Man)7 (PP-Dol)1	chemical	4
http://purl.obolibrary.org/obo/CHEBI_76793	5-caC	chemical	1
http://purl.obolibrary.org/obo/CHEBI_64136	DHB	chemical	2
http://purl.obolibrary.org/obo/CHEBI_10723	tdec2-CoA	chemical	7
http://purl.obolibrary.org/obo/CHEBI_50157	HIALD	chemical	1
http://purl.obolibrary.org/obo/CHEBI_36916	cation	chemical	2
http://purl.obolibrary.org/obo/CHEBI_18384	I4P	chemical	2
http://purl.obolibrary.org/obo/CHEBI_71063	NRPE	chemical	9
http://purl.obolibrary.org/obo/CHEBI_15422	ATP	chemical	1983
http://purl.obolibrary.org/obo/CHEBI_52592	A2PE	chemical	2
http://purl.obolibrary.org/obo/CHEBI_62643	anionic phospholipid	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15638	5,10-methenyl-THF	chemical	2
http://purl.obolibrary.org/obo/CHEBI_27403	3,7,24THCA-CoA	chemical	9
http://purl.obolibrary.org/obo/CHEBI_35432	3,5,3'-triiodothyronine 4-sulfate	chemical	2
http://purl.obolibrary.org/obo/CHEBI_77062	MeSeOH	chemical	3
http://purl.obolibrary.org/obo/CHEBI_37154	FUMA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_28868	fatty acid anion	chemical	6
http://purl.obolibrary.org/obo/CHEBI_50998	2,3-TE-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_140258	MaR3n-3 DPA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16577	DHCA	chemical	5
http://purl.obolibrary.org/obo/CHEBI_15681	GM3	chemical	4
http://purl.obolibrary.org/obo/CHEBI_151	ISCIT	chemical	9
http://purl.obolibrary.org/obo/CHEBI_64685	MeSeH	chemical	13
http://purl.obolibrary.org/obo/CHEBI_17790	MeOH	chemical	5
http://purl.obolibrary.org/obo/CHEBI_37397	CHS	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16057	dimethylallyl-PP	chemical	2
http://purl.obolibrary.org/obo/CHEBI_17665	G6P	chemical	37
http://purl.obolibrary.org/obo/CHEBI_17606	I2	chemical	2
http://purl.obolibrary.org/obo/CHEBI_32816	PYR	chemical	45
http://purl.obolibrary.org/obo/CHEBI_15494	25(R) DHCA-CoA	chemical	5
http://purl.obolibrary.org/obo/CHEBI_29991	L-Asp	chemical	25
http://purl.obolibrary.org/obo/CHEBI_4026	CPM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_133667	GCTN4OG	chemical	1
http://purl.obolibrary.org/obo/CHEBI_35424	AAF-N-S	chemical	2
http://purl.obolibrary.org/obo/CHEBI_40538	BZAM	chemical	1
http://purl.obolibrary.org/obo/CHEBI_36080	protein	chemical	2
http://purl.obolibrary.org/obo/CHEBI_59081	(Glc)1 (GlcNAc)2 (Man)9 (PP-Dol)1	chemical	3
http://purl.obolibrary.org/obo/CHEBI_81559	18(R)-RvE1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_26078	H3PO4	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63838	4CHOL7a,24(S)DONE	chemical	5
http://purl.obolibrary.org/obo/CHEBI_17436	MVA5P	chemical	2
http://purl.obolibrary.org/obo/CHEBI_30797	MAL	chemical	30
http://purl.obolibrary.org/obo/CHEBI_9096	SeHCys	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15873	GlcN6P	chemical	4
http://purl.obolibrary.org/obo/CHEBI_18132	ChoP	chemical	6
http://purl.obolibrary.org/obo/CHEBI_63986	EXE4	chemical	1
http://purl.obolibrary.org/obo/CHEBI_57844	L-Met	chemical	23
http://purl.obolibrary.org/obo/CHEBI_28273	ManNAc-6-P	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16322	I(1,3,4,5,6)P5	chemical	51
http://purl.obolibrary.org/obo/CHEBI_65131	1-3-oxo-THA-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_140254	MaR-L1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17504	2-lysophosphatidylcholine	chemical	3
http://purl.obolibrary.org/obo/CHEBI_27398	I4AH	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16610	SPM	chemical	9
http://purl.obolibrary.org/obo/CHEBI_16311	dCTP	chemical	9
http://purl.obolibrary.org/obo/CHEBI_18243	DA	chemical	28
http://purl.obolibrary.org/obo/CHEBI_18377	NFK	chemical	7
http://purl.obolibrary.org/obo/CHEBI_140270	RCTR3	chemical	1
http://purl.obolibrary.org/obo/CHEBI_28325	(S)-Hydroxydecanoyl-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_33101	NO2	chemical	1
http://purl.obolibrary.org/obo/CHEBI_50570	TOD-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_28935	(E)-hexadec-2-enoyl-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16466	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al	chemical	3
http://purl.obolibrary.org/obo/CHEBI_138209	MCTR3	chemical	1
http://purl.obolibrary.org/obo/CHEBI_138387	18(S)-HpEPE	chemical	3
http://purl.obolibrary.org/obo/CHEBI_62923	1,5-(PP)2-IP4	chemical	5
http://purl.obolibrary.org/obo/CHEBI_18408	AdoCbl	chemical	3
http://purl.obolibrary.org/obo/CHEBI_17361	CMP	chemical	37
http://purl.obolibrary.org/obo/CHEBI_17211	GPP	chemical	2
http://purl.obolibrary.org/obo/CHEBI_34718	CDNB	chemical	3
http://purl.obolibrary.org/obo/CHEBI_63828	MTZ-SOX	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17263	E1	chemical	11
http://purl.obolibrary.org/obo/CHEBI_16761	ADP	chemical	1763
http://purl.obolibrary.org/obo/CHEBI_15525	Palmitoyl-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63544	DTA-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_18212	SeO3(2-)	chemical	4
http://purl.obolibrary.org/obo/CHEBI_29120	NO+	chemical	5
http://purl.obolibrary.org/obo/CHEBI_16742	orotate	chemical	3
http://purl.obolibrary.org/obo/CHEBI_138653	PDX	chemical	2
http://purl.obolibrary.org/obo/CHEBI_15530	LIN-CoA	chemical	1
http://purl.obolibrary.org/obo/CHEBI_63543	TPA-CoA	chemical	2
http://purl.obolibrary.org/obo/CHEBI_91274	13(R)-HDPAn-3	chemical	8
http://purl.obolibrary.org/obo/CHEBI_17168	LTHSOL	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16301	Nitrite	chemical	9
http://purl.obolibrary.org/obo/CHEBI_35746	fatty aldehyde	chemical	2
http://purl.obolibrary.org/obo/CHEBI_32701	NHABP-SO4	chemical	2
http://purl.obolibrary.org/obo/CHEBI_61048	GM1	chemical	1
http://purl.obolibrary.org/obo/CHEBI_17082	2AMA	chemical	4
http://purl.obolibrary.org/obo/CHEBI_20794	7MG	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16500	PI5P	chemical	20
http://purl.obolibrary.org/obo/CHEBI_25676	oligopeptide	chemical	22
http://purl.obolibrary.org/obo/CHEBI_140253	7-oxo-DPAn-3	chemical	1
http://purl.obolibrary.org/obo/CHEBI_28047	5beta-cholestan-3alpha,7alpha-diol	chemical	2
http://purl.obolibrary.org/obo/CHEBI_61910	VLCFA-CoA	chemical	3
http://purl.obolibrary.org/obo/CHEBI_16284	dATP	chemical	19
http://purl.obolibrary.org/obo/CHEBI_18304	NAAD	chemical	7
http://purl.obolibrary.org/obo/CHEBI_37623	7a,25-OHC	chemical	1
http://purl.obolibrary.org/obo/CHEBI_15626	12S-HpETE	chemical	3
http://purl.obolibrary.org/obo/CHEBI_17407	FAPP	chemical	2
http://purl.obolibrary.org/obo/CHEBI_16038	PE	chemical	40
http://purl.obolibrary.org/obo/CHEBI_28158	6k-PGF1a	chemical	3
http://purl.obolibrary.org/obo/CHEBI_47983	acyl-PPANT	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16290	CHdOL	chemical	3
http://purl.obolibrary.org/obo/CHEBI_73979	2-acetamidoglucal	chemical	1
http://purl.obolibrary.org/obo/CHEBI_16480	NO	chemical	24
