reaction.stId,control_event.dbId,active_unit.stId
R-HSA-5672828,5672859,R-HSA-165662
R-HSA-8952726,8952704,R-HSA-5215938
R-HSA-205132,204980,R-HSA-196002
R-HSA-205117,205051,R-HSA-194333
R-HSA-193705,193924,R-HSA-193888
R-HSA-193703,193885,R-HSA-58206
R-HSA-9612996,9613038,R-HSA-187658
R-HSA-9613023,9613022,R-HSA-187658
R-HSA-392054,392052,R-HSA-64847
R-HSA-1168641,1168625,R-HSA-9012677
R-HSA-975125,975129,R-HSA-975117
R-HSA-975134,1014248,R-HSA-975149
R-HSA-975180,975140,R-HSA-975149
R-HSA-975170,975169,R-HSA-975167
R-HSA-975160,975177,R-HSA-975167
R-HSA-1168638,1168626,R-HSA-168104
R-HSA-1168638,1168626,R-HSA-202506
R-HSA-1168636,1168627,R-HSA-1169483
R-HSA-1234163,1234182,R-HSA-391423
R-HSA-1234179,1234180,R-HSA-1234122
R-HSA-1234177,1234180,R-HSA-1234122
R-HSA-1234173,1234180,R-HSA-1234122
R-HSA-1234172,1234157,R-HSA-1234127
R-HSA-3299753,3299709,R-HSA-3299714
R-HSA-5631885,5631899,R-HSA-3341270
R-HSA-5333615,5359049,R-HSA-5357671
R-HSA-6798667,6798670,R-HSA-6798682
R-HSA-6798345,6798655,R-HSA-6798663
R-HSA-3149518,3149528,R-HSA-3149530
R-HSA-166214,166401,R-HSA-166389
R-HSA-164834,164850,R-HSA-74186
R-HSA-164832,164536,R-HSA-74186
R-HSA-2393939,2393952,R-HSA-2393933
R-HSA-2393954,2393912,R-HSA-2393924
R-HSA-909718,909727,R-HSA-451921
R-HSA-909726,909727,R-HSA-451921
R-HSA-909732,909731,R-HSA-909682
R-HSA-909730,909723,R-HSA-909682
R-HSA-909729,909717,R-HSA-451898
R-HSA-909729,909717,R-HSA-877348
R-HSA-3341296,3341267,R-HSA-3341356
R-HSA-5653878,5653894,R-HSA-528072
R-HSA-3322009,3322006,R-HSA-71599
R-HSA-3322014,3322010,R-HSA-70205
R-HSA-3781024,3781012,R-HSA-71565
R-HSA-3322001,3322023,R-HSA-71565
R-HSA-3322025,3322020,R-HSA-70190
R-HSA-3322003,3322038,R-HSA-70190
R-HSA-3781018,3781013,R-HSA-3777103
R-HSA-3322041,3322055,R-HSA-71570
R-HSA-3780994,3781006,R-HSA-71599
R-HSA-3322019,3322066,R-HSA-70205
R-HSA-3781011,3781002,R-HSA-3777103
R-HSA-6807868,6807858,R-HSA-6807751
R-HSA-6807877,6807870,R-HSA-6807788
R-HSA-5694409,5694350,R-HSA-5694315
R-HSA-5694425,5694354,R-HSA-2193131
R-HSA-5694421,5694345,R-HSA-5685719
R-HSA-8867288,8866896,R-HSA-8866890
R-HSA-8850594,8850595,R-HSA-8850591
R-HSA-4084999,4088012,R-HSA-1605788
R-HSA-870449,870515,R-HSA-870522
R-HSA-209055,208887,R-HSA-205813
R-HSA-870437,870516,R-HSA-870499
R-HSA-2179276,2179275,R-HSA-178202
R-HSA-2186747,2186745,R-HSA-2186743
R-NUL-2186755,2186756,R-MMU-2186735
R-HSA-2187325,2187313,R-HSA-201568
R-HSA-2186785,2186782,R-HSA-2186765
R-HSA-178178,178169,R-HSA-178231
R-NUL-2167872,2167886,R-HSA-163443
R-HSA-2187368,2187377,R-HSA-975970
R-HSA-173542,2176453,R-HSA-173537
R-HSA-178215,178174,R-HSA-165529
R-NUL-2169016,2169020,R-HSA-165529
R-HSA-2187401,2187410,R-HSA-2187404
R-HSA-2169050,2169049,R-HSA-173533
R-HSA-2179291,2179282,R-HSA-1629778
R-NUL-2179313,2179310,R-MMU-2179301
R-HSA-1112602,1112516,R-HSA-1112596
R-HSA-1112703,1363334,R-HSA-1112596
R-HSA-727819,450188,R-HSA-168156
R-HSA-446877,450164,R-HSA-166366
R-HSA-446694,446690,R-HSA-446649
R-HSA-5357831,450351,R-HSA-202506
R-HSA-168140,450351,R-HSA-202506
R-HSA-933530,933529,R-HSA-166866
R-HSA-430028,429969,R-HSA-429935
R-HSA-430021,429943,R-HSA-429864
R-HSA-159101,8849114,R-HSA-8852231
R-HSA-83677,83524,R-HSA-49459
R-HSA-72139,8850866,R-HSA-8850837
R-HSA-429955,429904,R-HSA-429962
R-HSA-429860,429920,R-HSA-429937
R-HSA-6811508,6811481,R-HSA-381325
R-HSA-6805638,6805634,R-HSA-480310
R-HSA-5628871,5628869,R-HSA-381325
R-HSA-5625797,5625803,R-HSA-3214394
R-HSA-5625784,5625786,R-HSA-5625721
R-HSA-5625848,5625851,R-HSA-996769
R-HSA-5625870,5625869,R-HSA-996769
R-HSA-6797606,6797610,R-HSA-6797095
R-HSA-5358518,5358509,R-HSA-5357527
R-HSA-5358512,5358530,R-HSA-5357527
R-HSA-6785361,6785363,R-HSA-420942
R-HSA-6785361,6785363,R-HSA-419520
R-HSA-6788392,6788394,R-HSA-912443
R-HSA-5691001,5690210,R-HSA-5651800
R-HSA-5690988,5691069,R-HSA-67447
R-HSA-5690990,5691058,R-HSA-109943
R-HSA-5690996,5691030,R-HSA-67439
R-HSA-5690996,5691030,R-HSA-67443
R-HSA-6782943,6782949,R-HSA-5689119
R-HSA-6782227,5690479,R-HSA-53789
R-HSA-5690997,5690479,R-HSA-53789
R-HSA-6782227,5690479,R-HSA-53787
R-HSA-5690997,5690479,R-HSA-53787
R-HSA-6782204,6782200,R-HSA-109943
R-HSA-6782131,6782120,R-HSA-67439
R-HSA-6782131,6782120,R-HSA-67443
R-HSA-6782069,6782064,R-HSA-6781845
R-HSA-6781867,6781858,R-HSA-6781841
R-HSA-6782224,6782216,R-HSA-67447
R-HSA-6782208,6782209,R-HSA-5651800
R-HSA-6804383,6804376,R-HSA-5205609
R-HSA-917891,917800,R-HSA-904819
R-HSA-2562564,2562582,R-HSA-57031
R-HSA-166245,937068,R-HSA-936983
R-HSA-166245,937068,R-HSA-936973
R-HSA-918229,918231,R-HSA-450329
R-HSA-9014342,2569080,R-HSA-50847
R-HSA-168915,2569080,R-HSA-50847
R-HSA-9014342,2569080,R-HSA-50845
R-HSA-168915,2569080,R-HSA-50845
R-HSA-5213466,5218883,R-HSA-450328
R-HSA-5213464,5218883,R-HSA-450328
R-HSA-5213466,5218883,R-HSA-168651
R-HSA-5213464,5218883,R-HSA-168651
R-HSA-5218906,5218886,R-HSA-5218873
R-HSA-5357757,5357912,R-HSA-5357900
R-HSA-418845,418854,R-HSA-141640
R-HSA-211247,353596,R-HSA-350273
R-HSA-8939203,8939202,R-HSA-5082416
R-HSA-1369115,1370496,R-HSA-873799
R-HSA-2028675,2028693,R-HSA-2028696
R-HSA-2028673,2028693,R-HSA-2028696
R-HSA-2028591,2028254,R-HSA-2028280
R-HSA-2028555,2028576,R-HSA-2028258
R-HSA-2028629,2028576,R-HSA-2028258
R-HSA-2028284,2028552,R-HSA-201627
R-HSA-2028589,2028573,R-HSA-2028274
R-HSA-2028635,2028573,R-HSA-2028274
R-HSA-2028679,2028681,R-HSA-2028682
R-HSA-2028670,2028681,R-HSA-2028682
R-HSA-2028583,2028546,R-HSA-2028565
R-HSA-2028661,2028546,R-HSA-2028565
R-HSA-2060328,2028588,R-HSA-2028551
R-HSA-2028598,2028588,R-HSA-2028551
R-HSA-8937844,8937852,R-HSA-8937825
R-HSA-9008412,9008413,R-HSA-113843
R-HSA-201476,201437,R-HSA-201480
R-HSA-201443,201455,R-HSA-201442
R-HSA-9009308,9009313,R-HSA-975970
R-HSA-8939706,8939717,R-HSA-8939693
R-HSA-9008076,9008105,R-HSA-976037
R-HSA-9008479,9008652,R-HSA-1602296
R-HSA-9008480,9008633,R-HSA-2022823
R-NUL-9008636,9008645,R-HSA-2022823
R-HSA-9009403,9009417,R-HSA-975972
R-HSA-5635864,5635830,R-HSA-975995
R-HSA-5632648,5632637,R-HSA-173533
R-HSA-5635856,5635828,R-HSA-1234142
R-HSA-5632672,5632635,R-HSA-5632504
R-HSA-5632670,5632631,R-HSA-5632507
R-HSA-1912391,1604461,R-HSA-212440
R-HSA-9604829,9604902,R-HSA-5685963
R-HSA-9018572,9018582,R-HSA-179882
R-HSA-9021523,9021532,R-HSA-6807279
R-HSA-879910,914083,R-HSA-210620
R-HSA-912629,912642,R-HSA-200917
R-HSA-9012650,9012659,R-HSA-354251
R-HSA-9012650,9012659,R-HSA-2586516
R-HSA-9006323,9006334,R-HSA-2586516
R-HSA-9006332,9006324,R-HSA-210620
R-HSA-1295519,1295532,R-HSA-451898
R-HSA-914036,914051,R-HSA-389744
R-HSA-9618750,9620485,R-HSA-9617582
R-HSA-934604,934571,R-HSA-112199
R-HSA-2424480,2424483,R-HSA-74693
R-HSA-2424487,2424478,R-HSA-2424474
R-HSA-2424476,2424488,R-HSA-2424465
R-HSA-210977,210973,R-HSA-64847
R-HSA-141040,141039,R-HSA-140811
R-HSA-380780,9031948,R-HSA-8876922
R-HSA-186834,186837,R-HSA-64847
R-HSA-186800,186820,R-HSA-74787
R-HSA-8851933,8851931,R-HSA-6806977
R-HSA-8875568,8875567,R-HSA-913472
R-HSA-8874082,8874604,R-HSA-6806977
R-HSA-8874078,8874093,R-HSA-201621
R-HSA-8874080,8874610,R-HSA-1810408
R-HSA-8875183,8875354,R-HSA-8875457
R-HSA-8875451,8875458,R-HSA-8874682
